nm, A
800,000000, 0,035151
799,000000, 0,036453
798,000000, 0,036146
797,000000, 0,035511
796,000000, 0,036102
795,000000, 0,036031
794,000000, 0,034348
793,000000, 0,034665
792,000000, 0,035290
791,000000, 0,035442
790,000000, 0,035537
789,000000, 0,034760
788,000000, 0,034484
787,000000, 0,034692
786,000000, 0,034243
785,000000, 0,034519
784,000000, 0,035047
783,000000, 0,033783
782,000000, 0,034709
781,000000, 0,034487
780,000000, 0,034865
779,000000, 0,034371
778,000000, 0,033421
777,000000, 0,034476
776,000000, 0,034452
775,000000, 0,033890
774,000000, 0,034215
773,000000, 0,033976
772,000000, 0,033231
771,000000, 0,033820
770,000000, 0,034085
769,000000, 0,034166
768,000000, 0,033668
767,000000, 0,034422
766,000000, 0,034421
765,000000, 0,033970
764,000000, 0,033661
763,000000, 0,034568
762,000000, 0,034400
761,000000, 0,034177
760,000000, 0,033913
759,000000, 0,034254
758,000000, 0,034559
757,000000, 0,034165
756,000000, 0,034425
755,000000, 0,034533
754,000000, 0,033634
753,000000, 0,034654
752,000000, 0,034277
751,000000, 0,033797
750,000000, 0,034182
749,000000, 0,034231
748,000000, 0,034716
747,000000, 0,034758
746,000000, 0,034457
745,000000, 0,034633
744,000000, 0,034993
743,000000, 0,034971
742,000000, 0,034459
741,000000, 0,034529
740,000000, 0,034490
739,000000, 0,034594
738,000000, 0,034862
737,000000, 0,035049
736,000000, 0,035311
735,000000, 0,035316
734,000000, 0,036887
733,000000, 0,036834
732,000000, 0,037131
731,000000, 0,037390
730,000000, 0,037576
729,000000, 0,037468
728,000000, 0,037277
727,000000, 0,037260
726,000000, 0,036952
725,000000, 0,036569
724,000000, 0,035783
723,000000, 0,035130
722,000000, 0,035380
721,000000, 0,035387
720,000000, 0,035064
719,000000, 0,035209
718,000000, 0,035097
717,000000, 0,034356
716,000000, 0,034742
715,000000, 0,035326
714,000000, 0,034921
713,000000, 0,034736
712,000000, 0,034787
711,000000, 0,034127
710,000000, 0,034445
709,000000, 0,034601
708,000000, 0,034501
707,000000, 0,034741
706,000000, 0,034810
705,000000, 0,034606
704,000000, 0,034231
703,000000, 0,034247
702,000000, 0,034302
701,000000, 0,034533
700,000000, 0,034509
699,000000, 0,034391
698,000000, 0,034370
697,000000, 0,034412
696,000000, 0,034368
695,000000, 0,034225
694,000000, 0,034413
693,000000, 0,034748
692,000000, 0,034692
691,000000, 0,034735
690,000000, 0,034134
689,000000, 0,034154
688,000000, 0,034153
687,000000, 0,034482
686,000000, 0,034761
685,000000, 0,034171
684,000000, 0,034230
683,000000, 0,034600
682,000000, 0,034757
681,000000, 0,034576
680,000000, 0,034303
679,000000, 0,034357
678,000000, 0,034587
677,000000, 0,034548
676,000000, 0,034337
675,000000, 0,034316
674,000000, 0,034226
673,000000, 0,034439
672,000000, 0,034654
671,000000, 0,034426
670,000000, 0,034335
669,000000, 0,034429
668,000000, 0,034437
667,000000, 0,034380
666,000000, 0,034376
665,000000, 0,034309
664,000000, 0,034446
663,000000, 0,034630
662,000000, 0,034455
661,000000, 0,034248
660,000000, 0,034266
659,000000, 0,034296
658,000000, 0,034385
657,000000, 0,034369
656,000000, 0,034338
655,000000, 0,034479
654,000000, 0,034533
653,000000, 0,034535
652,000000, 0,034549
651,000000, 0,034462
650,000000, 0,034422
649,000000, 0,034285
648,000000, 0,034302
647,000000, 0,034329
646,000000, 0,034375
645,000000, 0,034116
644,000000, 0,034122
643,000000, 0,034469
642,000000, 0,034587
641,000000, 0,034717
640,000000, 0,034490
639,000000, 0,034517
638,000000, 0,034545
637,000000, 0,034482
636,000000, 0,034686
635,000000, 0,034778
634,000000, 0,034613
633,000000, 0,034440
632,000000, 0,034536
631,000000, 0,034744
630,000000, 0,034639
629,000000, 0,034723
628,000000, 0,034887
627,000000, 0,034719
626,000000, 0,034859
625,000000, 0,035057
624,000000, 0,035120
623,000000, 0,035040
622,000000, 0,035024
621,000000, 0,035169
620,000000, 0,035219
619,000000, 0,035088
618,000000, 0,035082
617,000000, 0,035133
616,000000, 0,035153
615,000000, 0,035022
614,000000, 0,034842
613,000000, 0,034963
612,000000, 0,034767
611,000000, 0,034573
610,000000, 0,034746
609,000000, 0,035049
608,000000, 0,034989
607,000000, 0,034745
606,000000, 0,034865
605,000000, 0,034830
604,000000, 0,034655
603,000000, 0,034778
602,000000, 0,034874
601,000000, 0,034936
600,000000, 0,034936
599,000000, 0,034836
598,000000, 0,034651
597,000000, 0,034835
596,000000, 0,034984
595,000000, 0,034942
594,000000, 0,034904
593,000000, 0,035036
592,000000, 0,034824
591,000000, 0,034838
590,000000, 0,034856
589,000000, 0,034900
588,000000, 0,035054
587,000000, 0,034926
586,000000, 0,034930
585,000000, 0,034847
584,000000, 0,035165
583,000000, 0,035137
582,000000, 0,035232
581,000000, 0,035134
580,000000, 0,035092
579,000000, 0,035301
578,000000, 0,035394
577,000000, 0,035280
576,000000, 0,035276
575,000000, 0,035078
574,000000, 0,035234
573,000000, 0,035247
572,000000, 0,035385
571,000000, 0,035389
570,000000, 0,035403
569,000000, 0,035437
568,000000, 0,035411
567,000000, 0,035351
566,000000, 0,035534
565,000000, 0,035344
564,000000, 0,035291
563,000000, 0,035493
562,000000, 0,035655
561,000000, 0,035391
560,000000, 0,035575
559,000000, 0,035613
558,000000, 0,035836
557,000000, 0,035694
556,000000, 0,035733
555,000000, 0,035887
554,000000, 0,036010
553,000000, 0,036098
552,000000, 0,036034
551,000000, 0,036209
550,000000, 0,036144
549,000000, 0,036030
548,000000, 0,036010
547,000000, 0,036352
