nm;A
481.000000;0.036008
480.000000;0.035974
479.000000;0.036209
478.000000;0.036235
477.000000;0.036087
476.000000;0.036238
475.000000;0.036384
474.000000;0.036586
473.000000;0.036197
472.000000;0.036446
471.000000;0.036396
470.000000;0.036402
469.000000;0.036345
468.000000;0.036475
467.000000;0.036530
466.000000;0.036805
465.000000;0.036442
464.000000;0.036434
463.000000;0.036688
462.000000;0.036588
461.000000;0.036799
460.000000;0.036836
459.000000;0.036835
458.000000;0.036706
457.000000;0.036657
456.000000;0.036784
455.000000;0.036825
454.000000;0.036964
453.000000;0.036878
452.000000;0.036924
451.000000;0.036850
450.000000;0.037139
449.000000;0.037039
448.000000;0.037497
447.000000;0.037166
446.000000;0.037088
445.000000;0.037011
444.000000;0.037333
443.000000;0.037110
442.000000;0.037184
441.000000;0.037575
440.000000;0.037440
439.000000;0.037784
438.000000;0.037899
437.000000;0.037204
436.000000;0.037419
435.000000;0.037420
434.000000;0.037394
433.000000;0.037517
432.000000;0.037328
431.000000;0.037440
430.000000;0.037644
429.000000;0.037853
428.000000;0.037561
427.000000;0.037713
426.000000;0.037787
425.000000;0.037846
424.000000;0.037547
423.000000;0.037803
422.000000;0.037944
421.000000;0.037972
420.000000;0.037837
419.000000;0.037947
418.000000;0.038179
417.000000;0.038442
416.000000;0.038511
415.000000;0.038304
414.000000;0.038315
413.000000;0.038272
412.000000;0.038207
411.000000;0.038480
410.000000;0.038572
409.000000;0.038622
408.000000;0.038501
407.000000;0.038447
406.000000;0.038657
405.000000;0.038789
404.000000;0.038873
403.000000;0.039035
402.000000;0.039062
401.000000;0.038823
400.000000;0.039076
399.000000;0.038956
398.000000;0.039194
397.000000;0.039262
396.000000;0.039260
395.000000;0.039013
394.000000;0.039346
393.000000;0.039319
392.000000;0.039410
391.000000;0.039378
390.000000;0.039461
389.000000;0.039422
388.000000;0.039501
387.000000;0.039719
386.000000;0.039755
385.000000;0.039856
384.000000;0.039815
383.000000;0.039772
382.000000;0.040076
381.000000;0.040080
380.000000;0.040321
379.000000;0.040449
378.000000;0.040457
377.000000;0.040081
376.000000;0.041422
375.000000;0.041259
374.000000;0.040740
373.000000;0.040541
372.000000;0.040897
371.000000;0.041380
370.000000;0.040691
369.000000;0.040943
368.000000;0.041194
367.000000;0.041680
366.000000;0.041773
365.000000;0.041421
364.000000;0.041399
363.000000;0.041197
362.000000;0.041667
361.000000;0.042011
360.000000;0.041788
359.000000;0.041653
358.000000;0.041505
357.000000;0.041672
356.000000;0.041528
355.000000;0.041574
354.000000;0.042153
353.000000;0.042124
352.000000;0.042170
351.000000;0.042576
350.000000;0.042549
349.000000;0.042618
348.000000;0.042517
347.000000;0.042705
346.000000;0.043001
345.000000;0.042841
344.000000;0.043259
343.000000;0.043303
342.000000;0.043242
341.000000;0.043769
340.000000;0.043567
339.000000;0.043349
338.000000;0.043816
337.000000;0.044376
336.000000;0.044465
335.000000;0.044251
334.000000;0.044246
333.000000;0.044157
332.000000;0.044316
331.000000;0.044685
330.000000;0.045036
329.000000;0.045448
328.000000;0.046082
327.000000;0.046050
326.000000;0.045989
325.000000;0.046112
324.000000;0.045172
323.000000;0.045848
322.000000;0.047145
321.000000;0.046742
320.000000;0.046569
319.000000;0.046999
318.000000;0.047630
317.000000;0.047650
316.000000;0.047674
315.000000;0.048408
314.000000;0.048708
313.000000;0.048765
312.000000;0.049018
311.000000;0.049509
310.000000;0.049608
309.000000;0.050533
308.000000;0.050993
307.000000;0.051335
306.000000;0.052499
305.000000;0.052971
304.000000;0.053122
303.000000;0.053804
302.000000;0.054927
301.000000;0.055824
300.000000;0.056479
299.000000;0.057055
298.000000;0.057797
297.000000;0.058280
296.000000;0.058565
295.000000;0.059513
294.000000;0.060583
293.000000;0.061003
292.000000;0.061926
291.000000;0.063149
290.000000;0.063460
289.000000;0.064384
288.000000;0.065275
287.000000;0.065963
286.000000;0.066508
285.000000;0.067033
284.000000;0.067807
283.000000;0.068531
282.000000;0.069186
281.000000;0.070314
280.000000;0.070281
279.000000;0.070912
