WE(1).Potential (V)	WE(1).Current (A)	Time (s)	Scan
-0.249725341796875	5.82977294921875E-07	22.4184369433989	1
-0.245391845703125	1.1553955078125E-06	22.4428509433372	1
-0.24334716796875	1.57135009765625E-06	22.4672649432756	1
-0.24053955078125	1.92230224609375E-06	22.491678943214	1
-0.2388916015625	2.29888916015625E-06	22.5160929431523	1
-0.235748291015625	2.63275146484375E-06	22.5405069430907	1
-0.23382568359375	2.98797607421875E-06	22.5649209430291	1
-0.231658935546875	3.1854248046875E-06	22.5893349429674	1
-0.22833251953125	3.4423828125E-06	22.6137489429058	1
-0.225341796875	3.662109375E-06	22.6381629428441	1
-0.22369384765625	3.9520263671875E-06	22.6625769427825	1
-0.220794677734375	4.168701171875E-06	22.6869909427209	1
-0.2186279296875	4.315185546875E-06	22.7114049426592	1
-0.21624755859375	4.52880859375E-06	22.7358189425976	1
-0.213043212890625	4.7210693359375E-06	22.7602329425359	1
-0.21148681640625	4.9530029296875E-06	22.7846469424743	1
-0.208892822265625	5.072021484375E-06	22.8090609424127	1
-0.20648193359375	5.224609375E-06	22.833474942351	1
-0.203887939453125	5.3985595703125E-06	22.8578889422894	1
-0.201568603515625	5.6121826171875E-06	22.8823029422277	1
-0.19915771484375	5.7403564453125E-06	22.9067169421661	1
-0.1964111328125	5.8502197265625E-06	22.9311309421045	1
-0.193817138671875	5.9967041015625E-06	22.9555449420428	1
-0.192047119140625	6.158447265625E-06	22.9799589419812	1
-0.188690185546875	6.329345703125E-06	23.0043729419195	1
-0.186553955078125	6.4117431640625E-06	23.0287869418579	1
-0.1842041015625	6.5399169921875E-06	23.0532009417963	1
-0.18170166015625	6.6986083984375E-06	23.0776149417346	1
-0.179443359375	6.8634033203125E-06	23.102028941673	1
-0.177154541015625	6.9671630859375E-06	23.1264429416113	1
-0.174163818359375	7.0404052734375E-06	23.1508569415497	1
-0.17242431640625	7.1990966796875E-06	23.1752709414881	1
-0.1695556640625	7.3150634765625E-06	23.1996849414264	1
-0.167266845703125	7.51953125E-06	23.2240989413648	1
-0.16534423828125	7.58056640625E-06	23.2485129413031	1
-0.16253662109375	7.6568603515625E-06	23.2729269412415	1
-0.160400390625	7.7972412109375E-06	23.2973409411799	1
-0.15765380859375	7.952880859375E-06	23.3217549411182	1
-0.155059814453125	8.0657958984375E-06	23.3461689410566	1
-0.153228759765625	8.1207275390625E-06	23.370582940995	1
-0.150177001953125	8.2611083984375E-06	23.3949969409333	1
-0.147918701171875	8.392333984375E-06	23.4194109408717	1
-0.145538330078125	8.5662841796875E-06	23.44382494081	1
-0.14288330078125	8.624267578125E-06	23.4682389407484	1
-0.140533447265625	8.72802734375E-06	23.4926529406868	1
-0.13836669921875	8.8226318359375E-06	23.5170669406251	1
-0.13543701171875	8.978271484375E-06	23.5414809405635	1
-0.1337890625	9.1094970703125E-06	23.5658949405018	1
-0.130706787109375	9.173583984375E-06	23.5903089404402	1
-0.128204345703125	9.31396484375E-06	23.6147229403786	1
-0.126220703125	9.41162109375E-06	23.6391369403169	1
-0.123443603515625	9.5794677734375E-06	23.6635509402553	1
-0.1212158203125	9.6405029296875E-06	23.6879649401936	1
-0.11846923828125	9.7320556640625E-06	23.712378940132	1
-0.115997314453125	9.85107421875E-06	23.7367929400704	1
-0.114166259765625	9.979248046875E-06	23.7612069400087	1
-0.111358642578125	1.01531982421875E-05	23.7856209399471	1
-0.108795166015625	1.0186767578125E-05	23.8100349398854	1
-0.1065673828125	1.031494140625E-05	23.8344489398238	1
-0.10406494140625	1.04278564453125E-05	23.8588629397622	1
-0.10162353515625	1.0601806640625E-05	23.8832769397005	1
-0.09930419921875	1.0650634765625E-05	23.9076909396389	1
-0.09661865234375	1.07421875E-05	23.9321049395772	1
-0.094451904296875	1.08642578125E-05	23.9565189395156	1
-0.0914306640625	1.099853515625E-05	23.980932939454	1
-0.089141845703125	1.11572265625E-05	24.0053469393923	1
-0.0870361328125	1.1187744140625E-05	24.0297609393307	1
-0.084197998046875	1.129150390625E-05	24.054174939269	1
-0.0821533203125	1.141357421875E-05	24.0785889392074	1
-0.07965087890625	1.1602783203125E-05	24.1030029391458	1
-0.077392578125	1.16912841796875E-05	24.1274169390841	1
-0.07476806640625	1.17431640625E-05	24.1518309390225	1
-0.072113037109375	1.187744140625E-05	24.1762449389608	1
-0.069580078125	1.2005615234375E-05	24.2006589388992	1
-0.06787109375	1.21795654296875E-05	24.2250729388376	1
-0.064788818359375	1.2200927734375E-05	24.2494869387759	1
-0.0626220703125	1.23138427734375E-05	24.2739009387143	1
-0.06048583984375	1.24114990234375E-05	24.2983149386527	1
-0.057952880859375	1.259765625E-05	24.322728938591	1
-0.055816650390625	1.27044677734375E-05	24.3471429385294	1
-0.05291748046875	1.27410888671875E-05	24.3715569384677	1
-0.050567626953125	1.28814697265625E-05	24.3959709384061	1
-0.0481781005859375	1.30035400390625E-05	24.4203849383445	1
-0.046258544921875	1.31622314453125E-05	24.4447989382828	1
-0.04298095703125	1.3214111328125E-05	24.4692129382212	1
-0.0409820556640625	1.33148193359375E-05	24.4936269381595	1
-0.038421630859375	1.343994140625E-05	24.5180409380979	1
-0.0358489990234375	1.3604736328125E-05	24.5424549380363	1
-0.033563232421875	1.37054443359375E-05	24.5668689379746	1
-0.030853271484375	1.3763427734375E-05	24.591282937913	1
-0.0285064697265625	1.3873291015625E-05	24.6156969378513	1
-0.0264312744140625	1.400146484375E-05	24.6401109377897	1
-0.023272705078125	1.41693115234375E-05	24.6645249377281	1
-0.0213470458984375	1.41998291015625E-05	24.6889389376664	1
