WE(1).Potential (V)	WE(1).Current (A)	Time (s)	Scan	Column 5 (V/s)
-1.494140625	1.27105712890625E-06	115.250311709021	1	0.08
-1.4910888671875	1.36810302734375E-06	115.280829708944	1	
-1.4886474609375	1.45172119140625E-06	115.311347708867	1	
-1.4862060546875	1.5277099609375E-06	115.34186570879	1	
-1.483154296875	1.575927734375E-06	115.372383708713	1	
-1.48162841796875	1.6485595703125E-06	115.402901708636	1	
-1.4788818359375	1.71112060546875E-06	115.433419708559	1	
-1.47705078125	1.778564453125E-06	115.463937708482	1	
-1.4739990234375	1.83746337890625E-06	115.494455708405	1	
-1.47247314453125	1.90155029296875E-06	115.524973708327	1	
-1.4691162109375	1.9580078125E-06	115.55549170825	1	
-1.4666748046875	2.0166015625E-06	115.586009708173	1	
-1.46392822265625	2.0733642578125E-06	115.616527708096	1	
-1.46148681640625	2.13226318359375E-06	115.647045708019	1	
-1.4593505859375	2.1875E-06	115.677563707942	1	
-1.456298828125	2.242431640625E-06	115.708081707865	1	
-1.455078125	2.2979736328125E-06	115.738599707788	1	
-1.45294189453125	2.34588623046875E-06	115.769117707711	1	
-1.4495849609375	2.40325927734375E-06	115.799635707634	1	
-1.4483642578125	2.451171875E-06	115.830153707557	1	
-1.4447021484375	2.50732421875E-06	115.86067170748	1	
-1.4422607421875	2.5579833984375E-06	115.891189707403	1	
-1.4398193359375	2.60894775390625E-06	115.921707707326	1	
-1.43829345703125	2.6568603515625E-06	115.952225707249	1	
-1.435546875	2.70965576171875E-06	115.982743707172	1	
-1.4324951171875	2.75421142578125E-06	116.013261707095	1	
-1.43035888671875	2.80792236328125E-06	116.043779707018	1	
-1.42822265625	2.8521728515625E-06	116.074297706941	1	
-1.4263916015625	2.90252685546875E-06	116.104815706864	1	
-1.42303466796875	2.94769287109375E-06	116.135333706786	1	
-1.4208984375	2.99835205078125E-06	116.165851706709	1	
-1.41754150390625	3.04412841796875E-06	116.196369706632	1	
-1.4154052734375	3.09173583984375E-06	116.226887706555	1	
-1.412353515625	3.13446044921875E-06	116.257405706478	1	
-1.41021728515625	3.18084716796875E-06	116.287923706401	1	
-1.4080810546875	3.22662353515625E-06	116.318441706324	1	
-1.4056396484375	3.26904296875E-06	116.348959706247	1	
-1.40289306640625	3.31451416015625E-06	116.37947770617	1	
-1.4013671875	3.35693359375E-06	116.409995706093	1	
-1.39801025390625	3.40423583984375E-06	116.440513706016	1	
-1.3958740234375	3.447265625E-06	116.471031705939	1	
-1.392822265625	3.4906005859375E-06	116.501549705862	1	
-1.3922119140625	3.5321044921875E-06	116.532067705785	1	
-1.38946533203125	3.57757568359375E-06	116.562585705708	1	
-1.38671875	3.61602783203125E-06	116.593103705631	1	
-1.3836669921875	3.662109375E-06	116.623621705554	1	
-1.38092041015625	3.70147705078125E-06	116.654139705477	1	
-1.3787841796875	3.74755859375E-06	116.6846577054	1	
-1.3763427734375	3.7872314453125E-06	116.715175705323	1	
-1.37420654296875	3.8311767578125E-06	116.745693705245	1	
-1.3714599609375	3.8720703125E-06	116.776211705168	1	
-1.36932373046875	3.91571044921875E-06	116.806729705091	1	
-1.3665771484375	3.955078125E-06	116.837247705014	1	
-1.363525390625	3.9947509765625E-06	116.867765704937	1	
-1.3623046875	4.03900146484375E-06	116.89828370486	1	
-1.3592529296875	4.07684326171875E-06	116.928801704783	1	
-1.356201171875	4.1204833984375E-06	116.959319704706	1	
-1.35406494140625	4.15740966796875E-06	116.989837704629	1	
-1.35223388671875	4.19769287109375E-06	117.020355704552	1	
-1.3494873046875	4.237060546875E-06	117.050873704475	1	
-1.34674072265625	4.278564453125E-06	117.081391704398	1	
-1.34521484375	4.31549072265625E-06	117.111909704321	1	
-1.3427734375	4.36126708984375E-06	117.142427704244	1	
-1.3397216796875	4.39697265625E-06	117.172945704167	1	
-1.3372802734375	4.439697265625E-06	117.20346370409	1	
-1.33544921875	4.47357177734375E-06	117.233981704013	1	
-1.33270263671875	4.51690673828125E-06	117.264499703936	1	
-1.3299560546875	4.55322265625E-06	117.295017703859	1	
-1.328125	4.59320068359375E-06	117.325535703782	1	
-1.3250732421875	4.63165283203125E-06	117.356053703704	1	
-1.3232421875	4.67193603515625E-06	117.386571703627	1	
-1.3201904296875	4.70855712890625E-06	117.41708970355	1	
-1.3189697265625	4.74578857421875E-06	117.447607703473	1	
-1.31622314453125	4.783935546875E-06	117.478125703396	1	
-1.31317138671875	4.82147216796875E-06	117.508643703319	1	
-1.31134033203125	4.85931396484375E-06	117.539161703242	1	
-1.30859375	4.876708984375E-06	117.569679703165	1	
-1.30615234375	4.9163818359375E-06	117.600197703088	1	
-1.3031005859375	4.9530029296875E-06	117.630715703011	1	
-1.3006591796875	4.9896240234375E-06	117.661233702934	1	
-1.298828125	5.0262451171875E-06	117.691751702857	1	
-1.2957763671875	5.06591796875E-06	117.72226970278	1	
-1.2939453125	5.096435546875E-06	117.752787702703	1	
-1.29150390625	5.133056640625E-06	117.783305702626	1	
-1.28936767578125	5.1666259765625E-06	117.813823702549	1	
-1.28662109375	5.206298828125E-06	117.844341702472	1	
-1.2835693359375	5.23681640625E-06	117.874859702395	1	
-1.2811279296875	5.2734375E-06	117.905377702318	1	
-1.279296875	5.31005859375E-06	117.93589570224	1	
-1.27593994140625	5.3436279296875E-06	117.966413702163	1	
-1.273193359375	5.377197265625E-06	117.996931702086	1	
-1.2713623046875	5.413818359375E-06	118.027449702009	1	
-1.2689208984375	5.4473876953125E-06	118.057967701932	1	
-1.265869140625	5.4779052734375E-06	118.088485701855	1	
-1.26434326171875	5.5145263671875E-06	118.119003701778	1	
-1.2615966796875	5.5450439453125E-06	118.149521701701	1	
-1.25885009765625	5.5816650390625E-06	118.180039701624	1	
-1.25732421875	5.6121826171875E-06	118.210557701547	1	
-1.2542724609375	5.645751953125E-06	118.24107570147	1	
-1.2518310546875	5.67626953125E-06	118.271593701393	1	
-1.25	5.712890625E-06	118.302111701316	1	
-1.24664306640625	5.7403564453125E-06	118.332629701239	1	
-1.243896484375	5.7769775390625E-06	118.363147701162	1	
-1.2420654296875	5.8074951171875E-06	118.393665701085	1	
-1.240234375	5.841064453125E-06	118.424183701008	1	
-1.23779296875	5.87158203125E-06	118.454701700931	1	
-1.2347412109375	5.908203125E-06	118.485219700854	1	
-1.23291015625	5.9356689453125E-06	118.515737700777	1	
-1.2310791015625	5.9661865234375E-06	118.546255700699	1	
-1.22711181640625	5.999755859375E-06	118.576773700622	1	
-1.22467041015625	6.0333251953125E-06	118.607291700545	1	
-1.22283935546875	6.06689453125E-06	118.637809700468	1	
-1.2200927734375	6.09130859375E-06	118.668327700391	1	
-1.21826171875	6.1279296875E-06	118.698845700314	1	
-1.2152099609375	6.1553955078125E-06	118.729363700237	1	
-1.21307373046875	6.18896484375E-06	118.75988170016	1	
-1.2109375	6.2164306640625E-06	118.790399700083	1	
-1.20849609375	6.2469482421875E-06	118.820917700006	1	
-1.20513916015625	6.2835693359375E-06	118.851435699929	1	
-1.20391845703125	6.3140869140625E-06	118.881953699852	1	
-1.201171875	6.341552734375E-06	118.912471699775	1	
-1.19842529296875	6.3751220703125E-06	118.942989699698	1	
-1.1962890625	6.402587890625E-06	118.973507699621	1	
-1.1932373046875	6.4361572265625E-06	119.004025699544	1	
-1.19171142578125	6.463623046875E-06	119.034543699467	1	
-1.1895751953125	6.500244140625E-06	119.06506169939	1	
-1.1865234375	6.5277099609375E-06	119.095579699313	1	
-1.1846923828125	6.561279296875E-06	119.126097699236	1	
-1.181640625	6.5887451171875E-06	119.156615699158	1	
-1.17919921875	6.622314453125E-06	119.187133699081	1	
-1.17706298828125	6.65283203125E-06	119.217651699004	1	
-1.1737060546875	6.6802978515625E-06	119.248169698927	1	
-1.17095947265625	6.7138671875E-06	119.27868769885	1	
-1.16973876953125	6.7413330078125E-06	119.309205698773	1	
-1.16668701171875	6.77490234375E-06	119.339723698696	1	
-1.16455078125	6.805419921875E-06	119.370241698619	1	
-1.162109375	6.8389892578125E-06	119.400759698542	1	
-1.1590576171875	6.866455078125E-06	119.431277698465	1	
-1.15631103515625	6.9000244140625E-06	119.461795698388	1	
-1.15478515625	6.927490234375E-06	119.492313698311	1	
-1.15264892578125	6.964111328125E-06	119.522831698234	1	
-1.1492919921875	6.988525390625E-06	119.553349698157	1	
-1.1474609375	7.025146484375E-06	119.58386769808	1	
-1.1444091796875	7.049560546875E-06	119.614385698003	1	
-1.1431884765625	7.086181640625E-06	119.644903697926	1	
-1.14013671875	7.11669921875E-06	119.675421697849	1	
-1.1370849609375	7.1502685546875E-06	119.705939697772	1	
-1.13525390625	7.177734375E-06	119.736457697695	1	
-1.1328125	7.2113037109375E-06	119.766975697617	1	
-1.1297607421875	7.2418212890625E-06	119.79749369754	1	
-1.1273193359375	7.2723388671875E-06	119.828011697463	1	
-1.1248779296875	7.305908203125E-06	119.858529697386	1	
-1.123046875	7.3333740234375E-06	119.889047697309	1	
-1.12060546875	7.366943359375E-06	119.919565697232	1	
-1.1181640625	7.3974609375E-06	119.950083697155	1	
-1.11572265625	7.4310302734375E-06	119.980601697078	1	
-1.11236572265625	7.464599609375E-06	120.011119697001	1	
-1.11114501953125	7.4951171875E-06	120.041637696924	1	
-1.10809326171875	7.525634765625E-06	120.072155696847	1	
-1.10595703125	7.5592041015625E-06	120.10267369677	1	
-1.1041259765625	7.5897216796875E-06	120.133191696693	1	
-1.1004638671875	7.6263427734375E-06	120.163709696616	1	
-1.09832763671875	7.65380859375E-06	120.194227696539	1	
-1.0955810546875	7.6873779296875E-06	120.224745696462	1	
-1.0931396484375	7.7178955078125E-06	120.255263696385	1	
-1.09100341796875	7.75146484375E-06	120.285781696308	1	
