WE(1).Potential (V)	WE(1).Current (A)	Time (s)	Scan	Column 5 (V/s)
-1.4935302734375	-1.10626220703125E-05	79.1672998001218	1	0.04
-1.490478515625	-9.4696044921875E-06	79.2283347999677	1	
-1.4886474609375	-8.5113525390625E-06	79.2893697998136	1	
-1.48590087890625	-7.830810546875E-06	79.3504047996595	1	
-1.4837646484375	-7.3028564453125E-06	79.4114397995054	1	
-1.48223876953125	-6.866455078125E-06	79.4724747993513	1	
-1.4788818359375	-6.494140625E-06	79.5335097991972	1	
-1.47705078125	-6.170654296875E-06	79.5945447990431	1	
-1.4739990234375	-5.8837890625E-06	79.655579798889	1	
-1.47125244140625	-5.621337890625E-06	79.7166147987349	1	
-1.4691162109375	-5.3863525390625E-06	79.7776497985808	1	
-1.46728515625	-5.1666259765625E-06	79.8386847984267	1	
-1.4642333984375	-4.962158203125E-06	79.8997197982726	1	
-1.4617919921875	-4.7607421875E-06	79.9607547981185	1	
-1.45904541015625	-4.581298828125E-06	80.0217897979644	1	
-1.45751953125	-4.41375732421875E-06	80.0828247978103	1	
-1.4544677734375	-4.25628662109375E-06	80.1438597976562	1	
-1.45263671875	-4.10675048828125E-06	80.2048947975021	1	
-1.4495849609375	-3.96270751953125E-06	80.265929797348	1	
-1.44805908203125	-3.82537841796875E-06	80.3269647971939	1	
-1.44500732421875	-3.69354248046875E-06	80.3879997970398	1	
-1.44256591796875	-3.568115234375E-06	80.4490347968857	1	
-1.4398193359375	-3.44635009765625E-06	80.5100697967316	1	
-1.43707275390625	-3.3319091796875E-06	80.5711047965775	1	
-1.4349365234375	-3.21990966796875E-06	80.6321397964234	1	
-1.4324951171875	-3.11065673828125E-06	80.6931747962693	1	
-1.42974853515625	-3.00689697265625E-06	80.7542097961152	1	
-1.42822265625	-2.9046630859375E-06	80.8152447959611	1	
-1.4251708984375	-2.80731201171875E-06	80.876279795807	1	
-1.4227294921875	-2.713623046875E-06	80.9373147956529	1	
-1.41998291015625	-2.61962890625E-06	80.9983497954988	1	
-1.41845703125	-2.53021240234375E-06	81.0593847953447	1	
-1.416015625	-2.44171142578125E-06	81.1204197951906	1	
-1.41326904296875	-2.35626220703125E-06	81.1814547950365	1	
-1.4111328125	-2.27294921875E-06	81.2424897948824	1	
-1.40869140625	-2.1929931640625E-06	81.3035247947283	1	
-1.40655517578125	-2.115478515625E-06	81.3645597945742	1	
-1.40411376953125	-2.0391845703125E-06	81.4255947944201	1	
-1.40106201171875	-1.96441650390625E-06	81.486629794266	1	
-1.39892578125	-1.8902587890625E-06	81.5476647941119	1	
-1.396484375	-1.81793212890625E-06	81.6086997939578	1	
-1.39404296875	-1.74957275390625E-06	81.6697347938037	1	
-1.3916015625	-1.68182373046875E-06	81.7307697936496	1	
-1.3885498046875	-1.6156005859375E-06	81.7918047934955	1	
-1.38671875	-1.55029296875E-06	81.8528397933414	1	
-1.3836669921875	-1.4874267578125E-06	81.9138747931873	1	
-1.38153076171875	-1.4251708984375E-06	81.9749097930332	1	
-1.37969970703125	-1.3641357421875E-06	82.0359447928792	1	
-1.37603759765625	-1.304931640625E-06	82.0969797927251	1	
-1.3739013671875	-1.24725341796875E-06	82.158014792571	1	
-1.37115478515625	-1.18865966796875E-06	82.2190497924169	1	
-1.3690185546875	-1.1328125E-06	82.2800847922628	1	
-1.3665771484375	-1.07818603515625E-06	82.3411197921087	1	
-1.3641357421875	-1.02386474609375E-06	82.4021547919546	1	
-1.361083984375	-9.6954345703125E-07	82.4631897918005	1	
-1.358642578125	-9.1888427734375E-07	82.5242247916464	1	
-1.35711669921875	-8.6822509765625E-07	82.5852597914923	1	
-1.35498046875	-8.184814453125E-07	82.6462947913382	1	
-1.3525390625	-7.6904296875E-07	82.7073297911841	1	
-1.3494873046875	-7.21435546875E-07	82.76836479103	1	
-1.34674072265625	-6.744384765625E-07	82.8293997908759	1	
-1.34521484375	-6.292724609375E-07	82.8904347907218	1	
-1.3421630859375	-5.8258056640625E-07	82.9514697905677	1	
-1.3397216796875	-5.3863525390625E-07	83.0125047904136	1	
