WE(1).Potential (V)	WE(1).Current (A)	Time (s)	Scan	Column 5 (V/s)
-1.492919921875	7.19604492187501E-07	130.382227670817	1	0.01
-1.49169921875	7.7972412109375E-07	130.6263686702	1	
-1.48895263671875	8.3038330078125E-07	130.870509669584	1	
-1.485595703125	8.7310791015625E-07	131.114650668967	1	
-1.4837646484375	8.8958740234375E-07	131.358791668351	1	
-1.4813232421875	9.2254638671875E-07	131.602932667735	1	
-1.4788818359375	9.50927734375E-07	131.847073667118	1	
-1.4764404296875	9.765625E-07	132.091214666502	1	
-1.4739990234375	9.991455078125E-07	132.335355665885	1	
-1.4715576171875	1.01776123046875E-06	132.579496665269	1	
-1.4691162109375	1.0369873046875E-06	132.823637664653	1	
-1.466064453125	1.0552978515625E-06	133.067778664036	1	
-1.4642333984375	1.07147216796875E-06	133.31191966342	1	
-1.46240234375	1.0882568359375E-06	133.556060662803	1	
-1.4599609375	1.10321044921875E-06	133.800201662187	1	
-1.45721435546875	1.11663818359375E-06	134.044342661571	1	
-1.4544677734375	1.12945556640625E-06	134.288483660954	1	
-1.4520263671875	1.14288330078125E-06	134.532624660338	1	
-1.4495849609375	1.15386962890625E-06	134.776765659721	1	
-1.44775390625	1.16424560546875E-06	135.020906659105	1	
-1.4447021484375	1.175537109375E-06	135.265047658489	1	
-1.44287109375	1.18499755859375E-06	135.509188657872	1	
-1.4398193359375	1.19537353515625E-06	135.753329657256	1	
-1.43707275390625	1.204833984375E-06	135.997470656639	1	
-1.435546875	1.21368408203125E-06	136.241611656023	1	
-1.4324951171875	1.22100830078125E-06	136.485752655407	1	
-1.4306640625	1.229248046875E-06	136.72989365479	1	
-1.42730712890625	1.236572265625E-06	136.974034654174	1	
-1.42547607421875	1.24481201171875E-06	137.218175653557	1	
-1.4227294921875	1.2518310546875E-06	137.462316652941	1	
-1.4208984375	1.25946044921875E-06	137.706457652325	1	
-1.4178466796875	1.2677001953125E-06	137.950598651708	1	
-1.414794921875	1.2738037109375E-06	138.194739651092	1	
-1.4129638671875	1.28204345703125E-06	138.438880650475	1	
