Time (s)	WE(1).Current (A)	WE(1).Potential (V)	Scan
25.2732659361911	-0.000188720703125	-0.64215087890625	1
25.2976659361295	-0.00016058349609375	-0.639862060546875	1
25.3220659360679	-0.000142120361328125	-0.637451171875	1
25.3464659360063	-0.000128387451171875	-0.635101318359375	1
25.3708659359447	-0.00011749267578125	-0.63275146484375	1
25.3952659358831	-0.000108489990234375	-0.63031005859375	1
25.4196659358215	-0.00010076904296875	-0.6279296875	1
25.4440659357599	-9.41162109375E-05	-0.62548828125	1
25.4684659356983	-8.8226318359375E-05	-0.623077392578125	1
25.4928659356367	-8.30078125E-05	-0.62066650390625	1
25.5172659355751	-7.8277587890625E-05	-0.618255615234375	1
25.5416659355135	-7.4005126953125E-05	-0.6158447265625	1
25.5660659354519	-7.0068359375E-05	-0.6134033203125	1
25.5904659353903	-6.646728515625E-05	-0.610992431640625	1
25.6148659353287	-6.3140869140625E-05	-0.608551025390625	1
25.6392659352671	-6.0089111328125E-05	-0.60601806640625	1
25.6636659352055	-5.718994140625E-05	-0.603668212890625	1
25.6880659351439	-5.450439453125E-05	-0.6011962890625	1
25.7124659350823	-5.2001953125E-05	-0.5987548828125	1
25.7368659350207	-4.9517822265625E-05	-0.5963134765625	1
25.7612659349591	-4.7271728515625E-05	-0.59393310546875	1
25.7856659348975	-4.5166015625E-05	-0.591522216796875	1
25.8100659348358	-4.31640625E-05	-0.589141845703125	1
25.8344659347742	-4.12750244140625E-05	-0.586700439453125	1
25.8588659347126	-3.9471435546875E-05	-0.584228515625	1
25.883265934651	-3.77532958984375E-05	-0.581817626953125	1
25.9076659345894	-3.612060546875E-05	-0.579315185546875	1
25.9320659345278	-3.4564208984375E-05	-0.576904296875	1
25.9564659344662	-3.3074951171875E-05	-0.574462890625	1
25.9808659344046	-3.16497802734375E-05	-0.572052001953125	1
26.005265934343	-3.028564453125E-05	-0.56951904296875	1
26.0296659342814	-2.89794921875E-05	-0.567108154296875	1
26.0540659342198	-2.7734375E-05	-0.564666748046875	1
26.0784659341582	-2.65289306640625E-05	-0.562255859375	1
26.1028659340966	-2.53692626953125E-05	-0.559814453125	1
26.127265934035	-2.4261474609375E-05	-0.557403564453125	1
26.1516659339734	-2.3193359375E-05	-0.554931640625	1
26.1760659339118	-2.216796875E-05	-0.552490234375	1
26.2004659338502	-2.11700439453125E-05	-0.550079345703125	1
26.2248659337886	-2.0208740234375E-05	-0.547607421875	1
26.249265933727	-1.92840576171875E-05	-0.54522705078125	1
26.2736659336654	-1.839599609375E-05	-0.5428466796875	1
26.2980659336038	-1.7535400390625E-05	-0.54034423828125	1
26.3224659335422	-1.669921875E-05	-0.53790283203125	1
26.3468659334806	-1.58935546875E-05	-0.53546142578125	1
26.371265933419	-1.5118408203125E-05	-0.53302001953125	1
26.3956659333574	-1.43646240234375E-05	-0.530609130859375	1
26.4200659332957	-1.363525390625E-05	-0.528167724609375	1
26.4444659332341	-1.2921142578125E-05	-0.5257568359375	1
26.4688659331725	-1.2237548828125E-05	-0.523345947265625	1
26.4932659331109	-1.1572265625E-05	-0.52081298828125	1
26.5176659330493	-1.09283447265625E-05	-0.518463134765625	1
26.5420659329877	-1.02996826171875E-05	-0.51593017578125	1
26.5664659329261	-9.6923828125E-06	-0.5135498046875	1
26.5908659328645	-9.1033935546875E-06	-0.511138916015625	1
26.6152659328029	-8.538818359375E-06	-0.5086669921875	1
26.6396659327413	-7.977294921875E-06	-0.506256103515625	1
26.6640659326797	-7.4310302734375E-06	-0.5037841796875	1
26.6884659326181	-6.903076171875E-06	-0.501251220703125	1
26.7128659325565	-6.396484375E-06	-0.49884033203125	1
26.7372659324949	-5.8990478515625E-06	-0.49639892578125	1
26.7616659324333	-5.4107666015625E-06	-0.493988037109375	1
26.7860659323717	-4.9285888671875E-06	-0.49151611328125	1
26.8104659323101	-4.46807861328125E-06	-0.489105224609375	1
26.8348659322485	-4.02496337890625E-06	-0.48663330078125	1
26.8592659321869	-3.5858154296875E-06	-0.484222412109375	1
26.8836659321253	-3.160400390625E-06	-0.48175048828125	1
26.9080659320637	-2.74658203125E-06	-0.4793701171875	1
26.9324659320021	-2.34527587890625E-06	-0.476959228515625	1
26.9568659319405	-1.95709228515625E-06	-0.4744873046875	1
26.9812659318789	-1.56951904296875E-06	-0.47198486328125	1
27.0056659318172	-1.19140625E-06	-0.469635009765625	1
27.0300659317556	-8.2763671875E-07	-0.46722412109375	1
27.054465931694	-4.69970703125E-07	-0.464813232421875	1
27.0788659316324	-1.17034912109375E-07	-0.462310791015625	1
27.1032659315708	2.2698974609375E-07	-0.45989990234375	1
27.1276659315092	5.499267578125E-07	-0.45733642578125	1
27.1520659314476	8.7005615234375E-07	-0.45513916015625	1
27.176465931386	1.1883544921875E-06	-0.452850341796875	1
27.2008659313244	1.49871826171875E-06	-0.450469970703125	1
27.2252659312628	1.8072509765625E-06	-0.4481201171875	1
27.2496659312012	2.103271484375E-06	-0.445648193359375	1
27.2740659311396	2.388916015625E-06	-0.4432373046875	1
27.298465931078	2.6708984375E-06	-0.44085693359375	1
27.3228659310164	2.94921875E-06	-0.4384765625	1
27.3472659309548	3.22235107421875E-06	-0.43621826171875	1
27.3716659308932	3.48480224609375E-06	-0.43304443359375	1
27.3960659308316	3.741455078125E-06	-0.430694580078125	1
27.42046593077	4.00115966796875E-06	-0.428253173828125	1
27.4448659307084	4.254150390625E-06	-0.425811767578125	1
27.4692659306468	4.4964599609375E-06	-0.423370361328125	1
27.4936659305852	4.732666015625E-06	-0.42095947265625	1
