WE(1).Potential (V)	WE(1).Current (A)	Time (s)	Scan
-0.53375244140625	5.08514404296875E-07	19.6523629503826	1
-0.53082275390625	9.2132568359375E-07	19.7011909502593	1
-0.527679443359375	1.26708984375E-06	19.750018950136	1
-0.5255126953125	1.534423828125E-06	19.7988469500127	1
-0.5230712890625	1.83135986328125E-06	19.8476749498894	1
-0.521514892578125	2.03338623046875E-06	19.8965029497662	1
-0.518157958984375	2.28668212890625E-06	19.9453309496429	1
-0.516143798828125	2.43438720703125E-06	19.9941589495196	1
-0.51397705078125	2.63763427734375E-06	20.0429869493963	1
-0.51190185546875	2.7789306640625E-06	20.091814949273	1
-0.5089111328125	2.91290283203125E-06	20.1406429491498	1
-0.507171630859375	3.077392578125E-06	20.1894709490265	1
-0.50347900390625	3.17291259765625E-06	20.2382989489032	1
-0.50140380859375	3.314208984375E-06	20.2871269487799	1
-0.498779296875	3.399658203125E-06	20.3359549486566	1
-0.49615478515625	3.52783203125E-06	20.3847829485334	1
-0.493804931640625	3.607177734375E-06	20.4336109484101	1
-0.491546630859375	3.717041015625E-06	20.4824389482868	1
-0.488189697265625	3.7994384765625E-06	20.5312669481635	1
-0.486602783203125	3.86962890625E-06	20.5800949480403	1
-0.48443603515625	3.9825439453125E-06	20.628922947917	1
-0.4815673828125	4.0191650390625E-06	20.6777509477937	1
-0.479583740234375	4.1168212890625E-06	20.7265789476704	1
-0.47650146484375	4.1778564453125E-06	20.7754069475471	1
-0.47454833984375	4.2938232421875E-06	20.8242349474239	1
-0.471710205078125	4.3365478515625E-06	20.8730629473006	1
-0.469329833984375	4.425048828125E-06	20.9218909471773	1
-0.467041015625	4.47998046875E-06	20.970718947054	1
-0.464508056640625	4.5379638671875E-06	21.0195469469307	1
-0.462310791015625	4.6356201171875E-06	21.0683749468075	1
-0.4595947265625	4.6478271484375E-06	21.1172029466842	1
-0.457275390625	4.74853515625E-06	21.1660309465609	1
-0.455352783203125	4.7882080078125E-06	21.2148589464376	1
-0.452545166015625	4.8858642578125E-06	21.2636869463144	1
-0.449920654296875	4.9102783203125E-06	21.3125149461911	1
-0.447296142578125	4.9835205078125E-06	21.3613429460678	1
-0.444671630859375	5.0628662109375E-06	21.4101709459445	1
-0.44268798828125	5.09033203125E-06	21.4589989458212	1
-0.439971923828125	5.169677734375E-06	21.507826945698	1
-0.43719482421875	5.181884765625E-06	21.5566549455747	1
-0.4351806640625	5.2886962890625E-06	21.6054829454514	1
-0.4332275390625	5.31005859375E-06	21.6543109453281	1
-0.4300537109375	5.4046630859375E-06	21.7031389452048	1
-0.4278564453125	5.438232421875E-06	21.7519669450816	1
-0.425811767578125	5.50537109375E-06	21.8007949449583	1
-0.423370361328125	5.56640625E-06	21.849622944835	1
-0.420928955078125	5.584716796875E-06	21.8984509447117	1
-0.418121337890625	5.6732177734375E-06	21.9472789445884	1
-0.415924072265625	5.6976318359375E-06	21.9961069444652	1
-0.413543701171875	5.79833984375E-06	22.0449349443419	1
-0.410888671875	5.8135986328125E-06	22.0937629442186	1
-0.40863037109375	5.8990478515625E-06	22.1425909440953	1
-0.4061279296875	5.938720703125E-06	22.1914189439721	1
-0.403717041015625	5.9844970703125E-06	22.2402469438488	1
-0.4012451171875	6.0638427734375E-06	22.2890749437255	1
-0.39874267578125	6.0760498046875E-06	22.3379029436022	1
-0.396087646484375	6.16455078125E-06	22.3867309434789	1
-0.39373779296875	6.1859130859375E-06	22.4355589433557	1
-0.391387939453125	6.2744140625E-06	22.4843869432324	1
-0.38934326171875	6.31103515625E-06	22.5332149431091	1
-0.38653564453125	6.38427734375E-06	22.5820429429858	1
-0.384552001953125	6.43310546875E-06	22.6308709428625	1
-0.381561279296875	6.463623046875E-06	22.6796989427393	1
-0.379425048828125	6.5460205078125E-06	22.728526942616	1
-0.376953125	6.5582275390625E-06	22.7773549424927	1
-0.37481689453125	6.646728515625E-06	22.8261829423694	1
-0.3720703125	6.671142578125E-06	22.8750109422461	1
-0.369415283203125	6.7718505859375E-06	22.9238389421229	1
-0.36724853515625	6.7962646484375E-06	22.9726669419996	1
-0.36456298828125	6.8695068359375E-06	23.0214949418763	1
-0.362335205078125	6.9061279296875E-06	23.070322941753	1
-0.35955810546875	6.951904296875E-06	23.1191509416298	1
-0.357330322265625	7.04345703125E-06	23.1679789415065	1
-0.355255126953125	7.0343017578125E-06	23.2168069413832	1
-0.35272216796875	7.12890625E-06	23.2656349412599	1
-0.35009765625	7.16552734375E-06	23.3144629411366	1
-0.3475341796875	7.257080078125E-06	23.3632909410134	1
-0.345001220703125	7.275390625E-06	23.4121189408901	1
-0.342803955078125	7.3333740234375E-06	23.4609469407668	1
-0.340301513671875	7.40966796875E-06	23.5097749406435	1
-0.337860107421875	7.4249267578125E-06	23.5586029405202	1
-0.33544921875	7.513427734375E-06	23.607430940397	1
-0.333038330078125	7.513427734375E-06	23.6562589402737	1
-0.33074951171875	7.6171875E-06	23.7050869401504	1
-0.328521728515625	7.635498046875E-06	23.7539149400271	1
-0.32574462890625	7.72705078125E-06	23.8027429399039	1
-0.32330322265625	7.7545166015625E-06	23.8515709397806	1
-0.32073974609375	7.8216552734375E-06	23.9003989396573	1
-0.318389892578125	7.8826904296875E-06	23.949226939534	1
-0.315765380859375	7.89794921875E-06	23.9980549394107	1
-0.313507080078125	7.9833984375E-06	24.0468829392875	1
-0.311309814453125	8.0047607421875E-06	24.0957109391642	1
-0.3087158203125	8.10546875E-06	24.1445389390409	1
-0.305938720703125	8.11767578125E-06	24.1933669389176	1
