nm;A
484.000000;0.185903
483.000000;0.194450
482.000000;0.202308
481.000000;0.212611
480.000000;0.223324
479.000000;0.230420
478.000000;0.240874
477.000000;0.251670
476.000000;0.262375
475.000000;0.271029
474.000000;0.282362
473.000000;0.292630
472.000000;0.305596
471.000000;0.317335
470.000000;0.328315
469.000000;0.338167
468.000000;0.351618
467.000000;0.365529
466.000000;0.375955
465.000000;0.390448
464.000000;0.402954
463.000000;0.414791
462.000000;0.429134
461.000000;0.440145
460.000000;0.451186
459.000000;0.463422
458.000000;0.474233
457.000000;0.491206
456.000000;0.500792
455.000000;0.511857
454.000000;0.525928
453.000000;0.534340
452.000000;0.545428
451.000000;0.556025
450.000000;0.566433
449.000000;0.579612
448.000000;0.587306
447.000000;0.597259
446.000000;0.609214
445.000000;0.621283
444.000000;0.629448
443.000000;0.638506
442.000000;0.647185
441.000000;0.656049
440.000000;0.666166
439.000000;0.672118
438.000000;0.682141
437.000000;0.694455
436.000000;0.696034
435.000000;0.707679
434.000000;0.712778
433.000000;0.721414
432.000000;0.727635
431.000000;0.736340
430.000000;0.742736
429.000000;0.746854
428.000000;0.759912
427.000000;0.767165
426.000000;0.773010
425.000000;0.776859
424.000000;0.789009
423.000000;0.793829
422.000000;0.799332
421.000000;0.801419
420.000000;0.809885
419.000000;0.813107
418.000000;0.816650
417.000000;0.822240
416.000000;0.824284
415.000000;0.826773
414.000000;0.829171
413.000000;0.832170
412.000000;0.832498
411.000000;0.834428
410.000000;0.834311
409.000000;0.828968
408.000000;0.826171
407.000000;0.825855
406.000000;0.821931
405.000000;0.819623
404.000000;0.811383
403.000000;0.808483
402.000000;0.802981
401.000000;0.794497
400.000000;0.782811
399.000000;0.782196
398.000000;0.777172
397.000000;0.765457
396.000000;0.758549
395.000000;0.749393
394.000000;0.742320
393.000000;0.737788
392.000000;0.733521
391.000000;0.728447
390.000000;0.718693
389.000000;0.706459
388.000000;0.702886
387.000000;0.701418
386.000000;0.693955
385.000000;0.680191
384.000000;0.669690
383.000000;0.664598
382.000000;0.657952
381.000000;0.652916
380.000000;0.645591
379.000000;0.641085
378.000000;0.641089
377.000000;0.638373
376.000000;0.629389
375.000000;0.616892
374.000000;0.604354
373.000000;0.578527
372.000000;0.563812
371.000000;0.565779
370.000000;0.558489
369.000000;0.551800
368.000000;0.542961
367.000000;0.525247
366.000000;0.505830
365.000000;0.488228
364.000000;0.486348
363.000000;0.478652
362.000000;0.457443
361.000000;0.442153
360.000000;0.435908
359.000000;0.423668
358.000000;0.404445
357.000000;0.389054
356.000000;0.376367
355.000000;0.363207
354.000000;0.344843
353.000000;0.330012
352.000000;0.321695
351.000000;0.311859
350.000000;0.297616
349.000000;0.289640
348.000000;0.273395
347.000000;0.260025
346.000000;0.256295
345.000000;0.250832
344.000000;0.240522
343.000000;0.228843
342.000000;0.217605
341.000000;0.207331
340.000000;0.202650
339.000000;0.197585
338.000000;0.189189
337.000000;0.184304
336.000000;0.187024
335.000000;0.183980
