nm;A
800.000000;0.006297
799.000000;0.011176
798.000000;0.005109
797.000000;0.002211
796.000000;0.006146
795.000000;0.012242
794.000000;0.003224
793.000000;0.005225
792.000000;0.001306
791.000000;0.009204
790.000000;0.001673
789.000000;0.007536
788.000000;0.005529
787.000000;0.003768
786.000000;0.008767
785.000000;-0.001017
784.000000;0.002705
783.000000;0.007383
782.000000;0.006686
781.000000;0.000888
780.000000;0.007467
779.000000;0.008748
778.000000;0.006508
777.000000;0.007551
776.000000;0.017189
775.000000;0.013844
774.000000;0.007593
773.000000;0.009071
772.000000;0.001434
771.000000;0.002965
770.000000;0.007276
769.000000;0.003531
768.000000;0.005993
767.000000;0.004154
766.000000;0.004193
765.000000;0.000507
764.000000;-0.001321
763.000000;0.007368
762.000000;0.005262
761.000000;0.011632
760.000000;0.005681
759.000000;0.000820
758.000000;0.003969
757.000000;0.009810
756.000000;0.008369
755.000000;0.005295
754.000000;0.010767
753.000000;0.005536
752.000000;0.002206
751.000000;0.002086
750.000000;0.009234
749.000000;0.002804
748.000000;0.005205
747.000000;0.003701
746.000000;0.007409
745.000000;0.013903
744.000000;0.005320
743.000000;0.003252
742.000000;0.001001
741.000000;-0.001280
740.000000;0.003489
739.000000;0.005090
738.000000;0.006057
737.000000;0.006779
736.000000;0.005998
735.000000;0.006824
734.000000;0.001070
733.000000;0.004931
732.000000;0.005659
731.000000;0.001653
730.000000;0.001941
729.000000;0.002448
728.000000;0.001554
727.000000;0.002778
726.000000;0.003236
725.000000;0.008765
724.000000;0.008059
723.000000;0.002974
722.000000;0.002746
721.000000;0.004950
720.000000;0.002513
719.000000;0.005306
718.000000;0.006668
717.000000;0.004607
716.000000;0.002984
715.000000;0.004936
714.000000;0.003692
713.000000;0.007703
712.000000;0.006033
711.000000;0.005271
710.000000;0.003158
709.000000;0.005512
708.000000;0.004419
707.000000;0.005416
706.000000;0.011107
705.000000;0.006250
704.000000;0.006291
703.000000;0.006247
702.000000;0.006185
701.000000;0.005830
700.000000;0.004536
699.000000;0.003942
698.000000;0.002490
697.000000;0.004349
696.000000;0.006831
695.000000;0.008854
694.000000;0.006047
693.000000;0.006148
692.000000;0.004937
691.000000;0.007331
690.000000;0.006784
689.000000;0.004081
688.000000;0.004905
687.000000;0.006497
686.000000;0.007353
685.000000;0.008848
684.000000;0.008031
683.000000;0.007062
682.000000;0.005955
681.000000;0.006722
680.000000;0.008190
679.000000;0.010415
678.000000;0.008320
677.000000;0.006203
676.000000;0.007444
675.000000;0.006859
674.000000;0.005869
673.000000;0.005722
672.000000;0.004779
671.000000;0.005746
670.000000;0.004499
669.000000;0.005316
668.000000;0.004897
667.000000;0.003020
666.000000;0.005462
665.000000;0.004729
664.000000;0.004538
663.000000;0.005771
662.000000;0.005677
661.000000;0.005806
660.000000;0.004929
659.000000;0.007122
658.000000;0.007305
657.000000;0.004931
656.000000;0.003930
655.000000;0.005462
654.000000;0.006620
653.000000;0.005526
652.000000;0.005573
651.000000;0.005908
650.000000;0.006823
649.000000;0.007422
648.000000;0.007464
647.000000;0.007150
646.000000;0.007538
645.000000;0.006846
644.000000;0.005432
643.000000;0.006365
642.000000;0.008959
641.000000;0.010277
640.000000;0.007849
639.000000;0.006990
638.000000;0.007431
637.000000;0.007062
636.000000;0.006419
635.000000;0.005993
634.000000;0.006579
633.000000;0.007327
632.000000;0.007716
631.000000;0.005818
630.000000;0.006384
629.000000;0.007659
628.000000;0.007586
627.000000;0.008050
626.000000;0.007792
625.000000;0.006974
624.000000;0.006483
623.000000;0.007672
622.000000;0.006890
621.000000;0.006577
620.000000;0.006161
619.000000;0.005843
618.000000;0.005555
617.000000;0.005946
616.000000;0.007523
615.000000;0.006697
614.000000;0.009382
613.000000;0.008556
612.000000;0.006964
611.000000;0.006849
