nm;A
481.000000;0.026317
480.000000;0.026264
479.000000;0.026536
478.000000;0.026647
477.000000;0.027696
476.000000;0.027696
475.000000;0.028927
474.000000;0.029088
473.000000;0.030949
472.000000;0.032722
471.000000;0.032086
470.000000;0.032131
469.000000;0.032925
468.000000;0.035170
467.000000;0.034266
466.000000;0.035147
465.000000;0.036536
464.000000;0.037068
463.000000;0.037832
462.000000;0.038652
461.000000;0.040275
460.000000;0.039565
459.000000;0.040566
458.000000;0.043008
457.000000;0.043406
456.000000;0.045001
455.000000;0.043865
454.000000;0.045631
453.000000;0.044622
452.000000;0.042103
451.000000;0.044801
450.000000;0.046397
449.000000;0.046817
448.000000;0.045025
447.000000;0.046140
446.000000;0.047620
445.000000;0.047396
444.000000;0.049636
443.000000;0.051879
442.000000;0.050922
441.000000;0.050518
440.000000;0.050977
439.000000;0.050031
438.000000;0.052205
437.000000;0.053934
436.000000;0.053057
435.000000;0.052385
434.000000;0.053035
433.000000;0.053756
432.000000;0.052863
431.000000;0.053836
430.000000;0.051993
429.000000;0.050747
428.000000;0.053195
427.000000;0.053344
426.000000;0.051618
425.000000;0.051928
424.000000;0.050567
423.000000;0.051172
422.000000;0.050359
421.000000;0.049477
420.000000;0.049727
419.000000;0.048330
418.000000;0.045523
417.000000;0.047696
416.000000;0.045607
415.000000;0.046478
414.000000;0.045047
413.000000;0.043999
412.000000;0.044242
411.000000;0.041707
410.000000;0.041692
409.000000;0.040289
408.000000;0.042346
407.000000;0.041386
406.000000;0.038744
405.000000;0.038903
404.000000;0.037012
403.000000;0.035700
402.000000;0.035084
401.000000;0.033142
400.000000;0.030549
399.000000;0.030502
398.000000;0.029526
397.000000;0.028251
396.000000;0.027429
395.000000;0.027502
394.000000;0.025648
393.000000;0.024137
392.000000;0.027849
391.000000;0.024139
390.000000;0.022792
389.000000;0.023318
388.000000;0.021063
387.000000;0.021053
386.000000;0.022488
385.000000;0.019558
384.000000;0.016435
383.000000;0.019527
382.000000;0.017143
381.000000;0.016086
380.000000;0.013687
379.000000;0.013897
378.000000;0.009756
377.000000;0.011370
376.000000;0.012355
375.000000;0.011364
374.000000;0.005640
373.000000;-0.000951
372.000000;-0.002824
371.000000;0.002745
370.000000;0.004498
369.000000;0.004370
368.000000;0.001465
367.000000;0.002802
366.000000;0.001876
365.000000;-0.002910
364.000000;0.000064
363.000000;0.001799
362.000000;0.005136
361.000000;0.014229
360.000000;0.020509
359.000000;0.023708
358.000000;0.028193
357.000000;0.035400
356.000000;0.044097
355.000000;0.056862
354.000000;0.072684
353.000000;0.085171
352.000000;0.097969
351.000000;0.115212
350.000000;0.126132
349.000000;0.142084
348.000000;0.156350
347.000000;0.168558
346.000000;0.182964
345.000000;0.197201
344.000000;0.207863
343.000000;0.216958
342.000000;0.224319
341.000000;0.230265
340.000000;0.248566
339.000000;0.265399
338.000000;0.280622
337.000000;0.300649
336.000000;0.321034
335.000000;0.339399
334.000000;0.350832
333.000000;0.368563
332.000000;0.380108
331.000000;0.386268
330.000000;0.398424
329.000000;0.411382
328.000000;0.419175
327.000000;0.428831
326.000000;0.441235
325.000000;0.445497
324.000000;0.450990
323.000000;0.452851
322.000000;0.464299
321.000000;0.479057
320.000000;0.483148
319.000000;0.485024
318.000000;0.491762
317.000000;0.494761
316.000000;0.489504
315.000000;0.498168
314.000000;0.499374
313.000000;0.492190
312.000000;0.497328
311.000000;0.497429
310.000000;0.489741
309.000000;0.482990
308.000000;0.476060
307.000000;0.476234
306.000000;0.474365
305.000000;0.475118
304.000000;0.465529
303.000000;0.455585
302.000000;0.458253
301.000000;0.445852
300.000000;0.438377
299.000000;0.431616
298.000000;0.418375
297.000000;0.401934
296.000000;0.384958
295.000000;0.371903
294.000000;0.346008
293.000000;0.304175
292.000000;0.262379
291.000000;0.209332
290.000000;0.138001
289.000000;0.046404
288.000000;-0.076272
287.000000;-0.222337
286.000000;-0.395955
285.000000;-0.570609
284.000000;-0.729533
283.000000;-0.898964
282.000000;-1.033683
281.000000;-1.057160
280.000000;-1.049707
279.000000;-1.095617
278.000000;-1.171160
277.000000;-1.220129
276.000000;-1.233562
275.000000;-1.303302
274.000000;-1.415191
273.000000;-1.315097
272.000000;-1.241241
271.000000;-1.227711
270.000000;-1.209954
269.000000;-1.164677
268.000000;-1.095554
267.000000;-1.100343
266.000000;-1.091234
265.000000;-1.060767
264.000000;-1.037779
263.000000;-1.027367
262.000000;-1.010520
261.000000;-1.005183
260.000000;-1.006068
259.000000;-1.053264
258.000000;-1.106443
257.000000;-1.130752
256.000000;-1.173890
255.000000;-1.252948
254.000000;-1.378640
253.000000;-1.406354
252.000000;-1.462341
251.000000;-1.695252
250.000000;-1.794158
